country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
Sierra Leone,2014,3858836.0,0.155800105,0.141488477,0.044523879,0.654035543,,,,,0.3146820147056923,,,0.1794154358955224,-0.1348915568955224
Singapore,2014,4691514.0,0.963525998,0.963525998,0.061494599,0.733594042,,,,,0.06382245951603269,,,0.1794154358955224,-0.1179208368955224
Slovak Republic,2014,4582684.0,0.772413961,0.772413961,,0.624851166,,,,,,,,0.1794154358955224,
Slovenia,2014,1759867.0,0.972445144,0.972445144,,0.656512348,,,,,,,,0.1794154358955224,
Somalia,2014,6719620.0,0.386603281,0.078557174,0.370659137,0.371968784,,,,,4.718335934538583,,,0.1794154358955224,0.19124370110447764
South Africa,2014,38992463.0,0.703174555,0.687672342,0.144281802,0.663642859,,,,,0.20981184379231582,,,0.1794154358955224,-0.035133633895522404
Spain,2014,39593406.0,0.975753066,0.975753066,,0.672256352,,,,,,,,0.1794154358955224,
Sri Lanka,2014,15433197.0,0.826913823,0.826913823,0.00076636847651658,0.452060276,,,,,0.0009267815523221456,,,0.1794154358955224,-0.1786490674190058
Sudan,2014,21021157.0,0.152684333,0.152684333,,0.412628264,,,,,,,,0.1794154358955224,
Sweden,2014,7971436.0,0.997199194,0.997199194,,0.844587279,,,,,,,,0.1794154358955224,
Switzerland,2014,6883205.0,0.979856449,0.979856449,,0.759744556,,,,,,,,0.1794154358955224,
"Taiwan, China",2014,19968635.0,0.913763199,0.913763199,,0.711569579,,,,,,,,0.1794154358955224,
Tajikistan,2014,5217089.0,0.114592329,0.114592329,0.0,0.313166904,,,,,0.0,,,0.1794154358955224,-0.1794154358955224
Tanzania,2014,26884351.0,0.397794763,0.190412307,0.323586983,0.592429409,,,,,1.6994016200854076,,,0.1794154358955224,0.1441715471044776
Thailand,2014,56707280.0,0.781365538,0.781365538,0.013012658,0.80519991,,,,,0.016653739341137924,,,0.1794154358955224,-0.16640277789552238
